	chao1
F03	325.4117647058824
F04	255.30882352941177
F05	227.71794871794873
F07	317.7837837837838
F09	128.11764705882354
F100	349.625
F101	221.41666666666666
F102	209.46875
F103	227.56
F107	269.7659574468085
F108	154.46875
F10	218.1875
F111	126.13636363636364
F112	214.55263157894737
F113	193.97297297297297
F114	168.4516129032258
F116	158.58823529411765
F123	179.0
F127	140.04
F128	222.0222222222222
F130	205.64
F132	297.1818181818182
F134	205.66666666666666
F140	267.7241379310345
F147	158.03703703703704
F149	147.23076923076923
F151	259.8484848484849
F154	188.5
F155	156.2941176470588
F158	284.7826086956522
F159	330.85714285714283
F160	197.94736842105263
F161	215.5
F162	148.08333333333334
F165	194.4
F16	170.125
F170	193.53846153846155
F172	179.3409090909091
F173	189.44444444444446
F183	250.28571428571428
F187	304.02777777777777
F188	194.12765957446808
F18	311.75
F190	215.04545454545453
F194	328.8
F195	194.0344827586207
F198	164.33333333333334
F199	188.90322580645162
F19	183.56756756756758
F201	147.9655172413793
F205	212.12
F207	288.1081081081081
F208	245.22857142857143
F211	209.45652173913044
F216	161.0
F217	175.16666666666666
F21	191.11111111111111
F222	298.42
F223	300.875
F224	262.8958333333333
F226	283.125
F230	140.93333333333334
F232	231.375
F233	137.2608695652174
F235	171.27586206896552
F237	152.91304347826087
F239	232.25641025641025
F248	183.125
F24	330.2173913043478
F252	251.8
F255	232.45454545454547
F259	193.7
F266	236.375
F267	208.83333333333334
F26	237.3469387755102
F272	187.61764705882354
F274	314.8181818181818
F278	153.13953488372093
F279	266.9375
F281	165.525
F286	274.3658536585366
F287	111.77777777777777
F288	188.51724137931035
F28	319.46774193548384
F291	127.05
F293	162.92307692307693
F294	255.55263157894737
F295	176.53846153846155
F297	205.43478260869566
F299	228.54901960784315
F29	167.9655172413793
F303	221.05769230769232
F30	368.39285714285717
F313	231.31914893617022
F319	255.95744680851064
F31	129.2
F320	434.5806451612903
F321	253.609756097561
F327	160.02564102564102
F329	242.28301886792454
F32	205.3030303030303
F334	300.5
F338	213.2173913043478
F33	148.55263157894737
F346	173.07142857142858
F34	245.0
F356	204.02083333333334
F358	381.3333333333333
F359	183.19230769230768
F367	154.03703703703704
F36	217.33333333333334
F372	102.15384615384616
F374	179.10714285714286
F375	186.33333333333334
F376	194.03333333333333
F377	155.41666666666666
F378	278.39473684210526
F384	214.03703703703704
F386	334.9782608695652
F390	130.0625
F39	249.89473684210526
F40	132.4
F42	173.6
F45	123.82352941176471
F46	127.77777777777777
F47	210.3846153846154
F50	194.28571428571428
F53	159.9
F54	128.33333333333334
F55	167.10344827586206
F56	357.0681818181818
F57	240.08823529411765
F58	182.57692307692307
F61	207.75675675675674
F62	267.05882352941177
F65	157.28571428571428
F67	246.1081081081081
F72	156.0
F76	142.1578947368421
F77	139.61764705882354
F79	195.6829268292683
F85	90.0
F89	319.375
F90	234.16129032258064
F91	272.6666666666667
F94	248.95454545454547
F96	204.66666666666666
F98	270.12
L03	410.280487804878
L04	553.943820224719
L102	53.0
L103	44.0
L107	59.0
L108	62.0
L123	92.0
L128	51.0
L130	51.0
L132	282.4166666666667
L134	164.625
L140	67.0
L147	39.0
L149	136.0
L151	78.0
L158	43.0
L160	308.26666666666665
L161	72.0
L162	67.0
L165	36.0
L170	377.3863636363636
L183	291.8125
L188	38.0
L18	406.28169014084506
L190	41.0
L195	60.0
L201	54.0
L208	119.0
L216	52.0
L21	335.82089552238807
L222	42.0
L226	183.0
L237	43.0
L239	68.0
L248	59.0
L24	294.6792452830189
L252	43.0
L279	90.0
L281	56.0
L287	65.0
L288	45.0
L293	81.0
L294	63.0
L297	331.1
L303	143.0
L30	141.125
L319	386.8627450980392
L31	219.9873417721519
L320	406.1111111111111
L321	64.0
L327	77.0
L32	367.8333333333333
L358	73.0
L359	456.4428571428571
L367	247.23076923076923
L36	254.80882352941177
L372	297.52941176470586
L374	329.0
L375	259.7741935483871
L376	467.375
L377	332.6764705882353
L378	307.8965517241379
L390	250.64
L61	190.24
L72	117.0
L76	56.0
L89	44.0
L96	109.0
M03	281.36842105263156
M04	359.94444444444446
M07	320.4727272727273
M09	382.2916666666667
M103	74.0
M10	307.05263157894734
M112	137.1153846153846
M113	202.23076923076923
M114	230.0
M132	176.73333333333332
M134	253.58333333333334
M140	254.3469387755102
M149	252.6
M151	299.5121951219512
M155	281.0
M158	277.0975609756098
M159	335.7567567567568
M161	369.42857142857144
M162	335.96153846153845
M165	356.75
M16	312.1304347826087
M170	292.44262295081967
M172	394.7435897435897
M173	273.375
M183	328.75757575757575
M188	196.1
M18	297.17857142857144
M208	248.85714285714286
M21	308.9
M222	72.0625
M223	72.04761904761905
M232	208.23076923076923
M237	79.0
M24	313.0
M29	331.6521739130435
M303	123.54545454545455
M319	162.07692307692307
M31	443.3421052631579
M32	300.86538461538464
M334	113.0
M358	134.1764705882353
M359	83.0
M367	269.28125
M36	359.36842105263156
M372	131.66666666666666
M374	371.8888888888889
M375	255.78378378378378
M376	389.52777777777777
M377	157.1
M384	264.875
M386	11.0
M390	66.06666666666666
M39	339.43835616438355
M40	329.94444444444446
M42	325.328125
M47	270.0810810810811
M54	278.15384615384613
M55	347.76623376623377
M56	338.05882352941177
M57	50.0
M58	60.214285714285715
M62	298.8139534883721
M65	140.39622641509433
M67	374.43835616438355
M72	285.42
M90	75.14285714285714
