	faith_pd
F03	21.507611107
F04	19.014459082000002
F05	15.044587477
F07	20.748113169
F09	11.103188376
F100	21.025496777999997
F101	17.005352452000004
F102	14.042248828999998
F103	13.611253346000002
F107	17.310754615
F108	12.784435356
F10	16.291847347999997
F111	10.962613183
F112	17.13447514
F113	12.714649829
F114	11.736944707
F116	12.211401054000001
F123	14.596298564
F127	11.668394356
F128	17.289942
F130	13.28913247
F132	17.751341219
F134	17.113579218
F140	15.737652725999999
F147	14.350558021000001
F149	10.248445767
F151	16.644053059999997
F154	12.582669686000001
F155	11.631999406
F158	18.7838127
F159	21.167538779999997
F160	15.417755473
F161	14.756624340000002
F162	12.544736688
F165	12.822276466
F16	13.910994473999999
F170	14.529136128000001
F172	12.621064793
F173	15.034782256
F183	20.06756689
F187	18.94200413
F188	14.571567473999998
F18	22.146884453000002
F190	18.891073249
F194	19.87177569
F195	17.16814807
F198	12.712857165
F199	13.394831785000001
F19	13.330790809
F201	11.569154773000001
F205	16.166673455999998
F207	19.333087402
F208	17.313438541
F211	16.142312467
F216	13.195454546
F217	16.092907504
F21	15.159543285
F222	20.241381263999997
F223	19.691846685
F224	16.422185822
F226	18.123411266999998
F230	11.041842057
F232	16.592859199000003
F233	11.164339043999998
F235	12.157980858
F237	11.152389956999999
F239	15.401545800000001
F248	16.401909644
F24	23.25693378
F252	18.002221829
F255	16.013117012
F259	15.403340133999999
F266	17.128185616000003
F267	15.310796856
F26	17.782255823
F272	13.592758159999999
F274	19.482748907999998
F278	10.562803801000001
F279	18.167675906
F281	13.803721331
F286	18.621662940999997
F287	10.206269049
F288	15.634583331
F28	20.789733581999997
F291	11.738652511000002
F293	13.542179298999999
F294	19.824126371
F295	13.708527660999998
F297	14.092983064
F299	16.275415079
F29	13.389723879999998
F303	15.757658644
F30	21.463546864
F313	17.912665499
F319	17.875625184999997
F31	12.66430543
F320	24.393473305999997
F321	16.758430369
F327	12.395974135000001
F329	16.141532546
F32	15.727510159000001
F334	20.673539948
F338	15.715699971
F33	11.923906911
F346	15.194191409
F34	18.923057498000002
F356	16.609145462
F358	26.089094586999998
F359	12.808457732
F367	12.239599555
F36	15.696397271
F372	10.107005181000002
F374	14.109723734
F375	15.208761783
F376	15.505756339000001
F377	13.698387754999999
F378	20.975951362000004
F384	13.948122993
F386	23.094145671
F390	11.744273322000002
F39	17.143816049
F40	10.343193813
F42	12.767292548999999
F45	10.469517789
F46	11.066628602
F47	15.131321879000001
F50	13.126259133000001
F53	12.069939763
F54	10.662950287000001
F55	12.166126753
F56	21.936029028
F57	16.720273646000003
F58	14.965184992000001
F61	16.470805827
F62	16.735602964
F65	13.215543411
F67	16.208363085000002
F72	11.53252608
F76	12.638270895999998
F77	12.456701323
F79	13.707436787
F85	9.482544165
F89	21.343897634
F90	15.295825537
F91	16.761356106999997
F94	16.152085089
F96	14.645743209
F98	16.646665968999997
L03	27.222482134000003
L04	33.435950973000004
L102	5.818181546
L103	5.893435921
L107	8.764574983000001
L108	7.160489579000001
L123	11.464457530999999
L128	6.698583525999999
L130	5.8133977230000005
L132	20.816662223999998
L134	15.435490455999998
L140	8.491379904
L147	4.549651358
L149	14.499762491
L158	5.735632349
L160	22.805482773
L161	9.772252912999999
L162	7.462306527
L165	4.543606758
L170	23.916728557000003
L183	21.605510619000004
L188	4.525838549
L18	27.012779154
L190	5.018709337000001
L195	7.503541152
L201	6.577106312
L208	14.566618510000001
L216	6.616660168
L21	23.115341441
L222	4.914903129000001
L226	16.878162544
L237	4.990408606000001
L239	9.325835189
L248	5.455157803
L24	20.989986168
L252	5.585865532
L279	11.667385475
L287	8.117331848
L288	6.837353708
L293	8.918125669999998
L297	26.930764278999998
L303	16.843658984
L30	13.587710014
L319	28.394013963999996
L31	18.851831724
L320	27.089635430999998
L327	9.7762859
L32	27.537049508
L359	29.360572592999997
L367	21.751769282
L36	19.071409094
L372	18.944806701999998
L374	23.52016989
L375	20.025432281
L376	27.712137630999997
L377	20.829836322000002
L378	23.283597877
L390	19.068109236
L61	14.768870396
L72	14.662624600000001
L76	4.694660753
L89	5.958109309999999
L96	9.926417418
M03	19.33712167
M04	25.159080810999995
M07	24.078074946999998
M09	27.250613292
M103	8.588548528
M10	22.040645555999998
M112	14.850513607
M113	19.236647429
M114	19.997338578
M132	14.58422452
M134	20.628517668
M140	23.847084506999998
M149	18.559854016
M151	22.824829188000002
M155	23.930970498
M158	22.912996509
M159	23.644404563000002
M161	23.550602421999997
M162	21.028185267999998
M165	24.23445459
M16	21.239849188999997
M170	17.161750114
M172	29.273702463999996
M173	20.226342645
M183	23.580298761
M188	17.095994301999998
M18	20.842732547
M208	20.913311704
M21	19.436971244000002
M223	10.239165639
M232	19.687625061
M237	10.274411547000001
M24	21.540778415000002
M29	26.02575763
M303	15.892515839999998
M319	19.845504030999997
M31	30.804370495
M32	25.030930389999998
M334	11.940729242
M358	15.430339314000001
M359	11.220897491
M367	21.711756284
M36	23.83933926
M372	10.368463609
M374	23.726487596000002
M375	19.797126702
M376	26.279025665
M377	15.915542435999999
M384	20.536257151
M386	1.8990626000000002
M390	8.700731268
M39	27.558959975999997
M40	23.392060593
M42	25.051286635
M47	23.230854146
M54	23.638374416
M55	28.000190839
M56	26.059793440999997
M57	5.188009318
M58	6.253809647000001
M62	21.855103536000005
M65	11.462275922000002
M67	30.504873419000003
M72	20.797893416
M90	9.285094808
